control_id,control_name,framework,category,criticality,type,frequency,owner,description
CTRL_064,Data Breach Notification - Data Security,GDPR,data_security,high,preventive,monthly,HR - Manager,GDPR control for data_security compliance - preventive control executed monthly
CTRL_065,Data Retention - Privacy,GDPR,privacy,critical,preventive,weekly,Marketing - Manager,GDPR control for privacy compliance - preventive control executed weekly
CTRL_066,Data Retention - Data Security,GDPR,data_security,high,detective,continuous,HR - Manager,GDPR control for data_security compliance - detective control executed continuous
CTRL_067,Data Retention - Data Security,GDPR,data_security,low,detective,quarterly,HR - Manager,GDPR control for data_security compliance - detective control executed quarterly
CTRL_068,Consent Management - Data Security,GDPR,data_security,medium,preventive,daily,Legal - Data Protection Officer,GDPR control for data_security compliance - preventive control executed daily
CTRL_069,Data Breach Notification - Data Security,GDPR,data_security,low,detective,weekly,Finance - Finance Manager,GDPR control for data_security compliance - detective control executed weekly
CTRL_070,Data Subject Rights - Data Security,GDPR,data_security,medium,preventive,daily,Legal - General Counsel,GDPR control for data_security compliance - preventive control executed daily
CTRL_071,Privacy Impact Assessment - Data Security,GDPR,data_security,medium,corrective,weekly,Legal - Compliance Officer,GDPR control for data_security compliance - corrective control executed weekly
CTRL_072,Data Subject Rights - Privacy,GDPR,privacy,low,preventive,quarterly,Customer Support - Manager,GDPR control for privacy compliance - preventive control executed quarterly
CTRL_073,Privacy Impact Assessment - Data Security,GDPR,data_security,medium,preventive,monthly,Sales - Manager,GDPR control for data_security compliance - preventive control executed monthly
CTRL_074,Consent Management - Data Security,GDPR,data_security,critical,detective,weekly,Marketing - Manager,GDPR control for data_security compliance - detective control executed weekly
CTRL_075,Consent Management - Data Security,GDPR,data_security,medium,detective,monthly,Operations - Quality Manager,GDPR control for data_security compliance - detective control executed monthly
CTRL_076,Consent Management - Data Security,GDPR,data_security,medium,detective,monthly,IT - CTO,GDPR control for data_security compliance - detective control executed monthly
CTRL_077,Data Subject Rights - Privacy,GDPR,privacy,low,preventive,weekly,Operations - Quality Manager,GDPR control for privacy compliance - preventive control executed weekly
CTRL_078,Consent Management - Data Security,GDPR,data_security,high,preventive,quarterly,Legal - Compliance Officer,GDPR control for data_security compliance - preventive control executed quarterly
CTRL_079,Data Breach Notification - Data Security,GDPR,data_security,medium,detective,quarterly,Finance - Finance Manager,GDPR control for data_security compliance - detective control executed quarterly
CTRL_080,Data Breach Notification - Data Security,GDPR,data_security,high,detective,daily,IT - Infrastructure Manager,GDPR control for data_security compliance - detective control executed daily
CTRL_081,Consent Management - Data Security,GDPR,data_security,high,corrective,weekly,HR - Manager,GDPR control for data_security compliance - corrective control executed weekly
CTRL_082,Data Breach Notification - Privacy,GDPR,privacy,low,detective,continuous,Finance - CFO,GDPR control for privacy compliance - detective control executed continuous
CTRL_083,Incident Management - Security,ISO27001,security,high,preventive,monthly,Operations - Quality Manager,ISO27001 control for security compliance - preventive control executed monthly
CTRL_084,Incident Management - Security,ISO27001,security,medium,preventive,monthly,HR - Manager,ISO27001 control for security compliance - preventive control executed monthly
CTRL_085,Vulnerability Management - Security,ISO27001,security,high,detective,daily,Legal - General Counsel,ISO27001 control for security compliance - detective control executed daily
CTRL_086,Incident Management - Security,ISO27001,security,medium,preventive,weekly,HR - Manager,ISO27001 control for security compliance - preventive control executed weekly
CTRL_087,Security Awareness - Access Control,ISO27001,access_control,medium,detective,monthly,Customer Support - Manager,ISO27001 control for access_control compliance - detective control executed monthly
CTRL_088,Access Control - Security,ISO27001,security,medium,detective,daily,HR - Manager,ISO27001 control for security compliance - detective control executed daily
CTRL_089,Access Control - Security,ISO27001,security,critical,detective,weekly,Customer Support - Manager,ISO27001 control for security compliance - detective control executed weekly
CTRL_090,Backup Procedures - Security,ISO27001,security,low,preventive,daily,HR - Manager,ISO27001 control for security compliance - preventive control executed daily
CTRL_091,Access Control - Access Control,ISO27001,access_control,low,detective,weekly,IT - Infrastructure Manager,ISO27001 control for access_control compliance - detective control executed weekly
CTRL_092,Incident Management - Security,ISO27001,security,low,detective,monthly,Marketing - Manager,ISO27001 control for security compliance - detective control executed monthly
CTRL_093,Vulnerability Management - Security,ISO27001,security,high,detective,weekly,Sales - Manager,ISO27001 control for security compliance - detective control executed weekly
CTRL_094,Access Control - Access Control,ISO27001,access_control,medium,preventive,daily,IT - CTO,ISO27001 control for access_control compliance - preventive control executed daily
CTRL_095,Security Awareness - Security,ISO27001,security,critical,preventive,monthly,Finance - Finance Manager,ISO27001 control for security compliance - preventive control executed monthly
CTRL_096,Security Awareness - Access Control,ISO27001,access_control,medium,detective,weekly,Finance - Controller,ISO27001 control for access_control compliance - detective control executed weekly
CTRL_097,Access Control - Security,ISO27001,security,high,preventive,weekly,Customer Support - Manager,ISO27001 control for security compliance - preventive control executed weekly
CTRL_098,Security Awareness - Access Control,ISO27001,access_control,high,detective,daily,Operations - Operations Manager,ISO27001 control for access_control compliance - detective control executed daily
CTRL_099,Incident Management - Security,ISO27001,security,low,detective,monthly,HR - Manager,ISO27001 control for security compliance - detective control executed monthly
CTRL_100,Incident Management - Access Control,ISO27001,access_control,high,detective,quarterly,Finance - CFO,ISO27001 control for access_control compliance - detective control executed quarterly
CTRL_101,Security Awareness - Security,ISO27001,security,medium,detective,daily,IT - Infrastructure Manager,ISO27001 control for security compliance - detective control executed daily
CTRL_102,Security Awareness - Access Control,ISO27001,access_control,high,detective,weekly,HR - Manager,ISO27001 control for access_control compliance - detective control executed weekly
CTRL_103,Backup Procedures - Security,ISO27001,security,medium,corrective,daily,IT - IT Security Manager,ISO27001 control for security compliance - corrective control executed daily
CTRL_104,Access Control - Access Control,ISO27001,access_control,medium,detective,weekly,Operations - Quality Manager,ISO27001 control for access_control compliance - detective control executed weekly
CTRL_105,Incident Management - Access Control,ISO27001,access_control,high,preventive,monthly,HR - Manager,ISO27001 control for access_control compliance - preventive control executed monthly
CTRL_106,Vulnerability Management - Access Control,ISO27001,access_control,high,detective,continuous,Operations - COO,ISO27001 control for access_control compliance - detective control executed continuous
CTRL_107,Backup Procedures - Access Control,ISO27001,access_control,high,preventive,weekly,Legal - General Counsel,ISO27001 control for access_control compliance - preventive control executed weekly
CTRL_108,Access Control - Access Control,ISO27001,access_control,high,preventive,monthly,IT - IT Security Manager,ISO27001 control for access_control compliance - preventive control executed monthly
CTRL_109,Backup Procedures - Access Control,ISO27001,access_control,high,detective,continuous,Marketing - Manager,ISO27001 control for access_control compliance - detective control executed continuous
CTRL_110,Access Control - Security,ISO27001,security,high,detective,quarterly,Customer Support - Manager,ISO27001 control for security compliance - detective control executed quarterly
CTRL_111,Vulnerability Management - Access Control,ISO27001,access_control,high,preventive,weekly,IT - IT Security Manager,ISO27001 control for access_control compliance - preventive control executed weekly
CTRL_112,Security Awareness - Security,ISO27001,security,medium,preventive,monthly,IT - Infrastructure Manager,ISO27001 control for security compliance - preventive control executed monthly
CTRL_113,Incident Management - Security,ISO27001,security,critical,detective,weekly,Operations - COO,ISO27001 control for security compliance - detective control executed weekly
CTRL_114,Backup Procedures - Security,ISO27001,security,high,preventive,daily,Legal - Data Protection Officer,ISO27001 control for security compliance - preventive control executed daily
CTRL_115,Backup Procedures - Access Control,ISO27001,access_control,high,detective,monthly,Sales - Manager,ISO27001 control for access_control compliance - detective control executed monthly
CTRL_116,Security Awareness - Access Control,ISO27001,access_control,critical,detective,weekly,Finance - Controller,ISO27001 control for access_control compliance - detective control executed weekly
CTRL_117,Access Control - Access Control,ISO27001,access_control,critical,detective,continuous,HR - Manager,ISO27001 control for access_control compliance - detective control executed continuous
CTRL_118,Vulnerability Management - Security,ISO27001,security,medium,detective,weekly,Customer Support - Manager,ISO27001 control for security compliance - detective control executed weekly
CTRL_119,Access Control - Access Control,ISO27001,access_control,medium,detective,quarterly,IT - IT Security Manager,ISO27001 control for access_control compliance - detective control executed quarterly
CTRL_120,Vulnerability Management - Access Control,ISO27001,access_control,high,preventive,daily,Customer Support - Manager,ISO27001 control for access_control compliance - preventive control executed daily
CTRL_121,Vulnerability Management - Access Control,ISO27001,access_control,high,preventive,weekly,Finance - Finance Manager,ISO27001 control for access_control compliance - preventive control executed weekly
CTRL_122,Vulnerability Management - Access Control,ISO27001,access_control,critical,preventive,monthly,HR - Manager,ISO27001 control for access_control compliance - preventive control executed monthly
CTRL_123,Security Awareness - Access Control,ISO27001,access_control,critical,detective,quarterly,Marketing - Manager,ISO27001 control for access_control compliance - detective control executed quarterly
CTRL_124,Security Awareness - Access Control,ISO27001,access_control,medium,preventive,monthly,Legal - Data Protection Officer,ISO27001 control for access_control compliance - preventive control executed monthly
CTRL_125,Incident Management - Security,ISO27001,security,critical,detective,weekly,Sales - Manager,ISO27001 control for security compliance - detective control executed weekly
CTRL_126,Incident Management - Security,ISO27001,security,low,preventive,monthly,Operations - COO,ISO27001 control for security compliance - preventive control executed monthly
CTRL_127,Security Awareness - Security,ISO27001,security,critical,detective,daily,Sales - Manager,ISO27001 control for security compliance - detective control executed daily
CTRL_128,Key Management - Payment Security,PCI-DSS,payment_security,high,preventive,monthly,Customer Support - Manager,PCI-DSS control for payment_security compliance - preventive control executed monthly
CTRL_129,Physical Security - Network Security,PCI-DSS,network_security,high,detective,quarterly,Customer Support - Manager,PCI-DSS control for network_security compliance - detective control executed quarterly
CTRL_130,Key Management - Payment Security,PCI-DSS,payment_security,high,corrective,monthly,Sales - Manager,PCI-DSS control for payment_security compliance - corrective control executed monthly
CTRL_131,Physical Security - Network Security,PCI-DSS,network_security,medium,detective,weekly,Legal - General Counsel,PCI-DSS control for network_security compliance - detective control executed weekly
CTRL_132,Physical Security - Network Security,PCI-DSS,network_security,critical,preventive,monthly,IT - Infrastructure Manager,PCI-DSS control for network_security compliance - preventive control executed monthly
CTRL_133,Key Management - Network Security,PCI-DSS,network_security,low,preventive,monthly,Customer Support - Manager,PCI-DSS control for network_security compliance - preventive control executed monthly
CTRL_134,Cardholder Data Encryption - Network Security,PCI-DSS,network_security,critical,corrective,monthly,Finance - Controller,PCI-DSS control for network_security compliance - corrective control executed monthly
CTRL_135,Cardholder Data Encryption - Payment Security,PCI-DSS,payment_security,high,preventive,weekly,Sales - Manager,PCI-DSS control for payment_security compliance - preventive control executed weekly
CTRL_136,Cardholder Data Encryption - Network Security,PCI-DSS,network_security,high,preventive,monthly,Legal - General Counsel,PCI-DSS control for network_security compliance - preventive control executed monthly
CTRL_137,Physical Security - Payment Security,PCI-DSS,payment_security,high,detective,monthly,Customer Support - Manager,PCI-DSS control for payment_security compliance - detective control executed monthly
CTRL_138,Penetration Testing - Payment Security,PCI-DSS,payment_security,critical,preventive,daily,Marketing - Manager,PCI-DSS control for payment_security compliance - preventive control executed daily
CTRL_139,Key Management - Network Security,PCI-DSS,network_security,high,preventive,daily,IT - CTO,PCI-DSS control for network_security compliance - preventive control executed daily
CTRL_140,Key Management - Payment Security,PCI-DSS,payment_security,medium,preventive,weekly,Legal - Compliance Officer,PCI-DSS control for payment_security compliance - preventive control executed weekly
CTRL_141,Penetration Testing - Payment Security,PCI-DSS,payment_security,critical,preventive,monthly,IT - Infrastructure Manager,PCI-DSS control for payment_security compliance - preventive control executed monthly
CTRL_142,Cardholder Data Encryption - Payment Security,PCI-DSS,payment_security,critical,detective,weekly,Marketing - Manager,PCI-DSS control for payment_security compliance - detective control executed weekly
CTRL_143,Penetration Testing - Payment Security,PCI-DSS,payment_security,medium,corrective,daily,Sales - Manager,PCI-DSS control for payment_security compliance - corrective control executed daily
CTRL_144,Penetration Testing - Network Security,PCI-DSS,network_security,high,detective,daily,Legal - General Counsel,PCI-DSS control for network_security compliance - detective control executed daily
CTRL_145,Network Segmentation - Network Security,PCI-DSS,network_security,high,detective,daily,Customer Support - Manager,PCI-DSS control for network_security compliance - detective control executed daily
CTRL_146,Network Segmentation - Network Security,PCI-DSS,network_security,critical,detective,weekly,Operations - COO,PCI-DSS control for network_security compliance - detective control executed weekly
CTRL_147,Cardholder Data Encryption - Network Security,PCI-DSS,network_security,low,preventive,weekly,Customer Support - Manager,PCI-DSS control for network_security compliance - preventive control executed weekly
CTRL_148,Cardholder Data Encryption - Payment Security,PCI-DSS,payment_security,medium,preventive,weekly,Sales - Manager,PCI-DSS control for payment_security compliance - preventive control executed weekly
CTRL_149,Network Segmentation - Network Security,PCI-DSS,network_security,medium,detective,weekly,Marketing - Manager,PCI-DSS control for network_security compliance - detective control executed weekly
